datetime open high low close turnover/amount(index)
1998-09-16 1226.90 1252.20 1225.29 1252.14 6971043500
1998-09-17 1257.38 1264.40 1226.72 1233.70 9614160600
1998-09-18 1227.56 1233.40 1199.58 1207.00 7338972700
1998-09-21 1199.17 1222.38 1193.82 1222.38 4742735900
1998-09-22 1224.40 1229.61 1214.02 1222.63 4264156300
1998-09-23 1223.99 1233.79 1222.35 1229.85 4054573100
1998-09-24 1231.05 1232.28 1196.92 1199.06 5775046300
1998-09-25 1194.31 1221.58 1192.08 1221.58 4136215400
1998-09-28 1224.27 1239.80 1217.65 1230.21 5302732300
1998-09-29 1231.90 1239.10 1226.83 1231.75 4205031100
1998-09-30 1233.58 1242.94 1233.43 1242.90 3972023200
1998-10-05 1245.74 1246.59 1231.40 1234.78 3520363000
1998-10-06 1234.14 1237.83 1214.83 1217.46 3586514700
1998-10-07 1214.35 1219.09 1207.93 1213.79 3692593300
1998-10-08 1215.95 1228.73 1215.86 1228.71 3823311800
1998-10-09 1231.94 1241.05 1229.84 1236.93 5135613000
1998-10-12 1239.57 1247.24 1227.85 1247.15 5934717800
1998-10-13 1250.68 1257.34 1239.77 1244.07 6036698600
1998-10-14 1243.71 1247.66 1234.07 1240.59 4335837300
1998-10-15 1243.19 1254.83 1241.26 1254.81 5554401500
1998-10-16 1259.14 1263.71 1249.93 1251.53 6210445400
1998-10-19 1255.05 1256.76 1240.45 1246.24 4952700900
1998-10-20 1248.23 1251.43 1238.30 1243.65 4196373400
1998-10-21 1243.54 1243.59 1206.11 1207.83 6347663200
1998-10-22 1202.21 1216.17 1191.56 1216.08 5419410700
1998-10-23 1217.13 1230.83 1215.47 1217.43 5913375400
1998-10-26 1215.56 1215.56 1195.24 1208.27 6095442100
1998-10-27 1207.20 1218.45 1204.73 1216.79 4898582600
1998-10-28 1218.50 1226.10 1217.23 1225.93 4977480000
1998-10-29 1226.92 1229.74 1214.92 1216.76 4261178200
1998-10-30 1216.01 1225.64 1215.45 1217.32 4522613100
1998-11-02 1217.33 1223.53 1210.84 1223.48 4249035000
1998-11-03 1225.26 1236.96 1225.22 1236.86 4818945100
1998-11-04 1239.50 1240.70 1232.78 1235.80 4515809900
